Lat,Lon,Importancia,Acidente,Teatro_Maritimo,Lat_original,Lon_original
31.639666666666667,-17.268666666666668,8.0,1,Madeira,31.639666666666667,-17.268666666666668
39.318,-10.505,8.0,1,Continente,39.318,-10.505
39.318,-10.505,8.0,1,Continente,39.318,-10.505
39.07131955980188,-9.487213033029512,5.0,0,Continente,39.0,-9.0
32.64233333333333,-16.898333333333333,5.0,0,Madeira,32.64233333333333,-16.898333333333333
37.0032,-8.948416666666667,8.0,1,Continente,37.0032,-8.948416666666667
41.38333333333333,-8.816666666666666,5.0,0,Continente,41.38333333333333,-8.816666666666666
41.63719379936542,-8.85405149193276,5.0,0,Continente,41.6675,-8.717
38.348152094063224,-9.202919947057312,8.0,1,Continente,38.44733333333333,-9.032833333333333
40.90833333333333,-9.225,10.0,1,Continente,40.90833333333333,-9.225
40.90833333333333,-9.225,10.0,1,Continente,40.90833333333333,-9.225
40.90833333333333,-9.225,10.0,1,Continente,40.90833333333333,-9.225
37.990883333333336,-8.921933333333333,5.0,0,Continente,37.990883333333336,-8.921933333333333
40.142,-8.921,5.0,0,Continente,40.142,-8.921
39.81666666666667,-9.333333333333334,8.0,1,Continente,39.81666666666667,-9.333333333333334
39.81666666666667,-9.333333333333334,8.0,1,Continente,39.81666666666667,-9.333333333333334
41.755,-10.118333333333334,5.0,0,Continente,41.755,-10.118333333333334
40.868,-8.974,5.0,0,Continente,40.868,-8.974
38.888333333333335,-27.431666666666665,5.0,0,Açores,38.888333333333335,-27.431666666666665
39.635666666666665,-9.423333333333334,8.0,1,Continente,39.635666666666665,-9.423333333333334
37.69566666666667,-9.131666666666666,10.0,1,Continente,37.69566666666667,-9.131666666666666
39.38,-31.166666666666668,5.0,0,Açores,39.38,-31.166666666666668
39.419225011973936,-9.356839283756413,10.0,1,Continente,39.416666666666664,-9.32
40.75,-8.914666666666667,10.0,1,Continente,40.75,-8.914666666666667
40.75,-8.914666666666667,10.0,1,Continente,40.75,-8.914666666666667
40.75,-8.914666666666667,10.0,1,Continente,40.75,-8.914666666666667
39.599,-9.111666666666666,8.0,1,Continente,39.599,-9.111666666666666
