Lat,Lon,Importancia,Acidente,Distancia_Costa_NM,Zona_Patrulha
39.318,-10.505,8.0,1,50.553605515577075,4
39.318,-10.505,8.0,1,50.553605515577075,4
32.64233333333333,-16.898333333333333,5.0,0,470.5838068431307,6
37.0032,-8.948416666666667,8.0,1,0.235812271856378,1
41.38333333333333,-8.816666666666666,5.0,0,2.435292288769281,1
40.90833333333333,-9.225,10.0,1,20.57366841003953,2
40.90833333333333,-9.225,10.0,1,20.57366841003953,2
40.90833333333333,-9.225,10.0,1,20.57366841003953,2
37.990883333333336,-8.921933333333333,5.0,0,0.6858148532455606,1
40.142,-8.921,5.0,0,2.1439413553018425,1
39.81666666666667,-9.333333333333334,8.0,1,15.442615960494575,2
39.81666666666667,-9.333333333333334,8.0,1,15.442615960494575,2
41.755,-10.118333333333334,5.0,0,57.39616694864347,4
40.868,-8.974,5.0,0,9.45242884928051,1
38.888333333333335,-27.431666666666665,5.0,0,837.4110382977501,6
39.635666666666665,-9.423333333333334,8.0,1,13.098181093362133,2
37.69566666666667,-9.131666666666666,10.0,1,14.320639130023457,2
39.38,-31.166666666666668,5.0,0,1008.1300296271514,6
40.75,-8.914666666666667,10.0,1,7.457073993202763,1
40.75,-8.914666666666667,10.0,1,7.457073993202763,1
40.75,-8.914666666666667,10.0,1,7.457073993202763,1
39.599,-9.111666666666666,8.0,1,1.2975463706420445,1
38.266666666666666,-9.866666666666667,4.0,0,31.79601734953112,3
38.266666666666666,-9.866666666666667,4.0,0,31.79601734953112,3
36.70783333333333,-8.871166666666667,4.0,0,18.25006672268059,2
38.9875,-9.769333333333334,5.0,0,14.124834343280828,2
38.9875,-9.769333333333334,5.0,0,14.124834343280828,2
37.03333333333333,-9.233333333333333,5.0,0,12.548433853467484,2
37.55785,-25.55985,8.0,1,760.7272677313463,6
37.55785,-25.55985,8.0,1,760.7272677313463,6
39.835,-10.111666666666666,5.0,0,43.3936030291853,3
38.653333333333336,-27.261666666666667,10.0,1,830.8833028204815,6
39.888333333333335,-9.395,8.0,1,19.38042592686011,2
37.0771,-8.669583333333334,8.0,1,1.5018091814430934,1
37.0771,-8.669583333333334,8.0,1,1.5018091814430934,1
37.053333333333335,-8.491666666666667,5.0,0,2.4895576435272777,1
38.016666666666666,-9.906666666666666,5.0,0,41.16364410805372,3
38.563116666666666,-9.596516666666666,8.0,1,11.667075669413158,1
40.876666666666665,-8.81,10.0,1,1.9733923556948954,1
36.75333333333333,-8.223666666666666,4.0,0,18.983500478278753,2
38.60333333333333,-9.546666666666667,5.0,0,8.26303958297581,1
36.935,-7.936833333333333,8.0,1,4.994125014361996,1
41.38166666666667,-9.251666666666667,8.0,1,21.960574854772943,2
36.884566666666665,-9.738,4.0,0,37.654519636630276,3
41.03333333333333,-10.066666666666666,4.0,0,58.17009093164178,4
39.625,-9.276666666666667,5.0,0,7.84248372011115,1
37.0855,-8.421333333333333,8.0,1,0.3714892896201228,1
37.01833333333333,-9.458333333333334,4.0,0,23.31438904711693,2
36.587833333333336,-8.945,5.0,0,25.106917832181097,3
41.21666666666667,-8.952166666666667,8.0,1,10.15986155634198,1
41.21666666666667,-8.952166666666667,8.0,1,10.15986155634198,1
36.304833333333335,-9.093166666666667,8.0,1,42.698989248344155,3
36.482,-9.0,5.0,0,31.572281141132073,3
37.90266666666667,-9.252666666666666,5.0,0,17.303356176424778,2
40.03816666666667,-9.119666666666667,10.0,1,9.392679386107995,1
40.66,-9.016666666666667,8.0,1,12.79068658361823,2
37.9605,-8.8895,10.0,1,0.26041083918055985,1
37.9605,-8.8895,10.0,1,0.26041083918055985,1
39.42666666666667,-9.461666666666666,10.0,1,4.840599343876252,1
39.0105,-9.781666666666666,4.0,0,14.862273132245923,2
41.57516666666667,-9.179166666666667,10.0,1,16.79859339555003,2
38.1735,-9.787333333333333,4.0,0,31.331205657636424,3
39.595666666666666,-9.100333333333333,8.0,1,0.7780089722518249,1
39.595666666666666,-9.100333333333333,8.0,1,0.7780089722518249,1
38.266666666666666,-30.633333333333333,5.0,0,991.052682213977,6
39.02985,-9.76135,5.0,0,14.056118565641308,2
40.154666666666664,-8.930833333333334,5.0,0,2.7909644589612563,1
40.405,-9.255,5.0,1,20.515488322223124,2
40.405,-9.255,5.0,1,20.515488322223124,2
38.623666666666665,-9.643333333333333,5.0,0,11.348727785145913,1
39.823166666666665,-9.021666666666667,10.0,1,1.4897775520937202,1
36.63333333333333,-9.716666666666667,4.0,0,42.691051427472985,3
37.083666666666666,-8.451166666666667,10.0,1,0.5617579558149943,1
32.60005,-16.782983333333334,8.0,1,467.4012201979326,6
39.053016666666664,-27.950966666666666,8.0,1,860.7019504913976,6
39.053016666666664,-27.950966666666666,8.0,1,860.7019504913976,6
41.32633333333333,-8.765333333333333,5.0,0,0.6902040868145445,1
37.030833333333334,-9.243666666666666,4.0,0,13.035467442084911,2
39.5,-9.705,4.0,0,16.238270720942747,2
41.486666666666665,-9.018333333333333,5.0,0,10.842974614762772,1
40.61333333333333,-8.781666666666666,8.0,1,1.6297365399486232,1
38.69166666666667,-9.721833333333333,5.0,0,11.775389109890474,1
40.265,-9.083333333333334,5.0,0,11.05861619880759,1
37.922783333333335,-9.224666666666666,10.0,1,15.505207295885636,2
37.922783333333335,-9.224666666666666,10.0,1,15.505207295885636,2
37.922783333333335,-9.224666666666666,10.0,1,15.505207295885636,2
36.864,-7.792333333333334,10.0,1,11.314186605450853,1
37.387166666666666,-9.819833333333333,5.0,0,42.06544064159716,3
41.3475,-8.760833333333334,5.0,0,0.2790669437464378,1
41.333333333333336,-8.833333333333334,4.0,0,3.6673659110826,1
38.4885,-9.594333333333333,4.0,0,13.583839463723567,2
40.11,-8.89,8.0,1,0.2320264128475069,1
36.81068333333333,-8.977516666666666,4.0,0,11.83034870493319,1
40.12833333333333,-8.9285,5.0,0,2.2590633090053602,1
40.12833333333333,-8.9285,5.0,0,2.2590633090053602,1
39.725,-9.463333333333333,8.0,1,18.43961417589027,2
37.79266666666667,-8.938166666666667,5.0,0,5.799614982932451,1
41.342333333333336,-10.195,4.0,0,64.68925785683258,4
39.59316666666667,-30.938,5.0,0,996.5707269469093,6
36.81166666666667,-8.836666666666666,8.0,1,12.903835306704329,2
